MONTHLY INTEREST RATES,,,,,,,,,,,,,,,,,,,ACCESS DAILY SHARES,,,,,,CAL DAILY SHARES,
Year,Variables,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec,,,,,,,,,,,,,
2023,Monthly Average 91-Day Treasury Bill  Interest rate Equivalent (%),35.62,35.67,20.38,19.67,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,,,,,Daily Date,Share Code,Total Value Traded (GH¢),,,,Daily Date,Share Code,Total Value Traded (GH¢)
2022,Monthly Average 91-Day Treasury Bill  Interest rate Equivalent (%),12.55,12.82,13.49,16.22,19.05,24.15,26.16,27.68,29.65,31.53,34.62,35.48,,,,,29/12/2023,ACCESS,0.00,,,,29/12/2023,CAL,"14,058.24"
2021,Monthly Average 91-Day Treasury Bill  Interest rate Equivalent (%),14.09,13.55,13.02,12.81,12.78,12.65,12.56,12.49,12.47,12.46,12.48,12.49,,,,,28/12/2023,ACCESS,0.00,,,,28/12/2023,CAL,"2,207.52"
2020,Monthly Average 91-Day Treasury Bill  Interest rate Equivalent (%),14.69,14.71,14.73,14.05,13.95,13.97,13.95,14.02,14.02,14.05,14.05,14.08,,,,,27/12/2023,ACCESS,0.00,,,,27/12/2023,CAL,"151,629.12"
2019,Monthly Average 91-Day Treasury Bill  Interest rate Equivalent (%),14.65,14.71,14.71,14.70,14.85,14.78,14.73,14.72,14.69,14.69,14.69,14.69,,,,,22/12/2023,ACCESS,0.00,,,,22/12/2023,CAL,"142,606.08"
,,,,,,,,,,,,,,,,,,21/12/2023,ACCESS,"35,210.40",,,,21/12/2023,CAL,"10,911.36"
,,,,,,,,,,,,,,,,,,20/12/2023,ACCESS,0.00,,,,20/12/2023,CAL,"902,155.72"
,,,,,,,,,,,,,,,,,,19/12/2023,ACCESS,"27,441.40",,,,19/12/2023,CAL,"200,696.82"
MONTHLY EXCHANGE RATES,,,,,,,,,,,,,,,,,,18/12/2023,ACCESS,119.00,,,,18/12/2023,CAL,659.00
,MONTHLY AVERAGE (GHC/USD),,,,,,,,,,,,,,,,,15/12/2023,ACCESS,"32,983.40",,,,15/12/2023,CAL,"3,295.50"
Year,Variables,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec,,,,,14/12/2023,ACCESS,"6,997.20",,,,14/12/2023,CAL,"1,176.57"
2023,Inter-Bank Exchange Rate - Month Average (GHC/EURO),10.6965,11.6347,11.8012,12.0083,11.8506,11.9082,12.1642,12.0017,11.813,11.974,12.4937,12.7118,,,,,13/12/2023,ACCESS,"22,110.20",,,,13/12/2023,CAL,"4,493.10"
2022,Inter-Bank Exchange Rate - Month Average (GHC/EURO),6.8038,7.1531,7.7712,7.6843,7.544,7.5976,7.5283,8.158,8.651,10.996,13.3484,10.6176,,,,,12/12/2023,ACCESS,686.80,,,,12/12/2023,CAL,"1,472.88"
2021,Inter-Bank Exchange Rate - Month Average (GHC/EURO),7.0048,6.963,6.8143,6.8676,6.9706,6.931,6.8414,6.8542,6.8973,6.8229,6.7409,6.7231,,,,,11/12/2023,ACCESS,"1,020.00",,,,11/12/2023,CAL,871.59
2020,Inter-Bank Exchange Rate - Month Average (GHC/EURO),6.1303,5.8017,5.9123,5.9942,6.1157,6.3529,6.4999,6.7248,6.7155,6.7162,6.7606,6.9655,,,,,08/12/2023,ACCESS,0.00,,,,08/12/2023,CAL,"1,360.17"
2019,Inter-Bank Exchange Rate - Month Average (GHC/EURO),5.5868,5.6913,5.8537,5.7146,5.7162,5.9208,5.8944,5.8599,5.8417,5.8847,5.9529,6.1564,,,,,07/12/2023,ACCESS,"23,966.60",,,,07/12/2023,CAL,51.00
,,,,,,,,,,,,,,,,,,06/12/2023,ACCESS,340.00,,,,06/12/2023,CAL,902.70
,MONTHLY AVERAGE (GHC/EURO),,,,,,,,,,,,,,,,,05/12/2023,ACCESS,0.00,,,,05/12/2023,CAL,"5,164.26"
Year,Variables,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec,,,,,04/12/2023,ACCESS,0.00,,,,04/12/2023,CAL,"1,184.22"
2023,Inter-Bank Exchange Rate - Month Average (GHC/EURO),10.6965,11.6347,11.8012,12.0083,11.8506,11.9082,12.1642,12.0017,11.813,11.974,12.4937,12.7118,,,,,30/11/2023,ACCESS,0.00,,,,30/11/2023,CAL,"1,550.91"
2022,Inter-Bank Exchange Rate - Month Average (GHC/EURO),6.8038,7.1531,7.7712,7.6843,7.544,7.5976,7.5283,8.158,8.651,10.996,13.3484,10.6176,,,,,29/11/2023,ACCESS,0.00,,,,29/11/2023,CAL,"7,347.57"
2021,Inter-Bank Exchange Rate - Month Average (GHC/EURO),7.0048,6.963,6.8143,6.8676,6.9706,6.931,6.8414,6.8542,6.8973,6.8229,6.7409,6.7231,,,,,28/11/2023,ACCESS,0.00,,,,28/11/2023,CAL,443.70
2020,Inter-Bank Exchange Rate - Month Average (GHC/EURO),6.1303,5.8017,5.9123,5.9942,6.1157,6.3529,6.4999,6.7248,6.7155,6.7162,6.7606,6.9655,,,,,27/11/2023,ACCESS,"3,692.40",,,,27/11/2023,CAL,107.61
