Daily Date,Share Code,Total Value Traded (GH¢)
29/12/2023,ACCESS,0
28/12/2023,ACCESS,0
27/12/2023,ACCESS,0
22/12/2023,ACCESS,0
21/12/2023,ACCESS,"35,210.40"
20/12/2023,ACCESS,0
19/12/2023,ACCESS,"27,441.40"
18/12/2023,ACCESS,119
15/12/2023,ACCESS,"32,983.40"
14/12/2023,ACCESS,"6,997.20"
13/12/2023,ACCESS,"22,110.20"
12/12/2023,ACCESS,686.8
11/12/2023,ACCESS,"1,020.00"
8/12/2023,ACCESS,0
7/12/2023,ACCESS,"23,966.60"
6/12/2023,ACCESS,340
5/12/2023,ACCESS,0
4/12/2023,ACCESS,0
30/11/2023,ACCESS,0
29/11/2023,ACCESS,0
28/11/2023,ACCESS,0
27/11/2023,ACCESS,"3,692.40"
24/11/2023,ACCESS,0
23/11/2023,ACCESS,0
22/11/2023,ACCESS,0
21/11/2023,ACCESS,0
20/11/2023,ACCESS,0
17/11/2023,ACCESS,"17,363.80"
16/11/2023,ACCESS,10.2
15/11/2023,ACCESS,136
14/11/2023,ACCESS,340
13/11/2023,ACCESS,"18,424.60"
10/11/2023,ACCESS,0
9/11/2023,ACCESS,"34,241.40"
8/11/2023,ACCESS,"3,808.20"
7/11/2023,ACCESS,112.2
6/11/2023,ACCESS,"17,017.00"
3/11/2023,ACCESS,258.4
2/11/2023,ACCESS,"69,438.20"
1/11/2023,ACCESS,0
31/10/2023,ACCESS,0
30/10/2023,ACCESS,0
27/10/2023,ACCESS,0
26/10/2023,ACCESS,0
25/10/2023,ACCESS,323
24/10/2023,ACCESS,"1,190.00"
23/10/2023,ACCESS,"60,645.80"
20/10/2023,ACCESS,0
19/10/2023,ACCESS,0
18/10/2023,ACCESS,"1,635.40"
17/10/2023,ACCESS,0
16/10/2023,ACCESS,0
13/10/2023,ACCESS,27.2
12/10/2023,ACCESS,0
11/10/2023,ACCESS,0
10/10/2023,ACCESS,"9,411.20"
9/10/2023,ACCESS,620
6/10/2023,ACCESS,"2,173.10"
5/10/2023,ACCESS,0
4/10/2023,ACCESS,0
3/10/2023,ACCESS,0
2/10/2023,ACCESS,0
29/09/2023,ACCESS,0
28/09/2023,ACCESS,"4,154.00"
27/09/2023,ACCESS,0
26/09/2023,ACCESS,0
25/09/2023,ACCESS,"10,784.90"
22/09/2023,ACCESS,6.2
20/09/2023,ACCESS,0
19/09/2023,ACCESS,"73,969.10"
18/09/2023,ACCESS,0
15/09/2023,ACCESS,0
14/09/2023,ACCESS,"108,100.10"
13/09/2023,ACCESS,269.7
12/9/2023,ACCESS,0
11/9/2023,ACCESS,0
8/9/2023,ACCESS,0
7/9/2023,ACCESS,0
6/9/2023,ACCESS,0
5/9/2023,ACCESS,310
4/9/2023,ACCESS,0
1/9/2023,ACCESS,0
30/08/2023,ACCESS,0
29/08/2023,ACCESS,0
28/08/2023,ACCESS,0
25/08/2023,ACCESS,"92,070.80"
24/08/2023,ACCESS,165
23/08/2023,ACCESS,120
22/08/2023,ACCESS,651
21/08/2023,ACCESS,0
18/08/2023,ACCESS,36
16/08/2023,ACCESS,"1,362.00"
15/08/2023,ACCESS,210
11/8/2023,ACCESS,"150,000.00"
10/8/2023,ACCESS,"1,312.00"
9/8/2023,ACCESS,"17,944.88"
8/8/2023,ACCESS,26.24
7/8/2023,ACCESS,"10,043.36"
2/8/2023,ACCESS,0
1/8/2023,ACCESS,"13,149.52"
31/07/2023,ACCESS,0
28/07/2023,ACCESS,32.8
27/07/2023,ACCESS,3.28
26/07/2023,ACCESS,6.56
25/07/2023,ACCESS,239.44
24/07/2023,ACCESS,0
21/07/2023,ACCESS,0
20/07/2023,ACCESS,"106,718.00"
19/07/2023,ACCESS,0
18/07/2023,ACCESS,"8,250.00"
17/07/2023,ACCESS,0
14/07/2023,ACCESS,"16,801.00"
13/07/2023,ACCESS,"24,497.00"
12/7/2023,ACCESS,0
11/7/2023,ACCESS,"10,535.10"
10/7/2023,ACCESS,25.2
7/7/2023,ACCESS,648
6/7/2023,ACCESS,"18,077.20"
5/7/2023,ACCESS,"18,500.00"
4/7/2023,ACCESS,19
3/7/2023,ACCESS,53.2
30/06/2023,ACCESS,7.6
29/06/2023,ACCESS,"38,049.74"
27/06/2023,ACCESS,35.73
26/06/2023,ACCESS,19.85
23/06/2023,ACCESS,"7,516.64"
22/06/2023,ACCESS,"21,847.50"
21/06/2023,ACCESS,0
20/06/2023,ACCESS,0
19/06/2023,ACCESS,147.63
16/06/2023,ACCESS,0
15/06/2023,ACCESS,51.87
14/06/2023,ACCESS,43.89
13/06/2023,ACCESS,43.89
12/6/2023,ACCESS,7.98
9/6/2023,ACCESS,19.95
8/6/2023,ACCESS,11.97
7/6/2023,ACCESS,3.99
5/6/2023,ACCESS,7.98
2/6/2023,ACCESS,3.99
1/6/2023,ACCESS,0
31/05/2023,ACCESS,0
30/05/2023,ACCESS,47.88
29/05/2023,ACCESS,111.72
26/05/2023,ACCESS,39.9
25/05/2023,ACCESS,0
24/05/2023,ACCESS,203.49
23/05/2023,ACCESS,7.98
22/05/2023,ACCESS,0
19/05/2023,ACCESS,399
18/05/2023,ACCESS,0
17/05/2023,ACCESS,402.99
16/05/2023,ACCESS,79.8
15/05/2023,ACCESS,0
12/5/2023,ACCESS,259.35
11/5/2023,ACCESS,0
10/5/2023,ACCESS,0
9/5/2023,ACCESS,19.95
8/5/2023,ACCESS,179.55
5/5/2023,ACCESS,0
4/5/2023,ACCESS,7.98
3/5/2023,ACCESS,7.98
2/5/2023,ACCESS,367.08
28/04/2023,ACCESS,0
27/04/2023,ACCESS,0
26/04/2023,ACCESS,0
25/04/2023,ACCESS,414.96
21/04/2023,ACCESS,0
20/04/2023,ACCESS,315.21
19/04/2023,ACCESS,20
18/04/2023,ACCESS,400
17/04/2023,ACCESS,"29,976.00"
14/04/2023,ACCESS,12
13/04/2023,ACCESS,0
12/4/2023,ACCESS,8
11/4/2023,ACCESS,8
6/4/2023,ACCESS,20
5/4/2023,ACCESS,204
5/4/2023,ACCESS,204
4/4/2023,ACCESS,140
3/4/2023,ACCESS,"8,280.00"
31/03/2023,ACCESS,0
30/03/2023,ACCESS,0
29/03/2023,ACCESS,0
28/03/2023,ACCESS,404
27/03/2023,ACCESS,0
24/03/2023,ACCESS,0
23/03/2023,ACCESS,0
22/03/2023,ACCESS,800
21/03/2023,ACCESS,0
20/03/2023,ACCESS,248
17/03/2023,ACCESS,0
16/03/2023,ACCESS,0
15/03/2023,ACCESS,20
14/03/2023,ACCESS,16
13/03/2023,ACCESS,0
10/3/2023,ACCESS,4
9/3/2023,ACCESS,40
8/3/2023,ACCESS,144
7/3/2023,ACCESS,0
3/3/2023,ACCESS,604
2/3/2023,ACCESS,0
1/3/2023,ACCESS,4
28/02/2023,ACCESS,0
27/02/2023,ACCESS,8
24/02/2023,ACCESS,0
23/02/2023,ACCESS,0
22/02/2023,ACCESS,0
21/02/2023,ACCESS,0
20/02/2023,ACCESS,0
17/02/2023,ACCESS,12
16/02/2023,ACCESS,"80,000.00"
15/02/2023,ACCESS,0
14/02/2023,ACCESS,0
13/02/2023,ACCESS,0
10/2/2023,ACCESS,44.11
9/2/2023,ACCESS,20.05
8/2/2023,ACCESS,20.05
7/2/2023,ACCESS,20.05
6/2/2023,ACCESS,20.05
3/2/2023,ACCESS,200.5
1/2/2023,ACCESS,0
31/01/2023,ACCESS,8.02
30/01/2023,ACCESS,368.92
27/01/2023,ACCESS,0
26/01/2023,ACCESS,0
24/01/2023,ACCESS,76.19
23/01/2023,ACCESS,0
20/01/2023,ACCESS,8.02
19/01/2023,ACCESS,0
18/01/2023,ACCESS,0
17/01/2023,ACCESS,0
16/01/2023,ACCESS,8.02
13/01/2023,ACCESS,212.53
12/1/2023,ACCESS,240.6
11/1/2023,ACCESS,20.05
10/1/2023,ACCESS,44.11
6/1/2023,ACCESS,64.16
5/1/2023,ACCESS,0
4/1/2023,ACCESS,48.12
3/1/2023,ACCESS,0
30/12/2022,ACCESS,200.5
29/12/2022,ACCESS,164.41
28/12/2022,ACCESS,140.35
23/12/2022,ACCESS,0
22/12/2022,ACCESS,8.02
21/12/2022,ACCESS,320
20/12/2022,ACCESS,196
19/12/2022,ACCESS,40
16/12/2022,ACCESS,420
15/12/2022,ACCESS,208
14/12/2022,ACCESS,40
13/12/2022,ACCESS,0
12/12/2022,ACCESS,48.12
9/12/2022,ACCESS,0
8/12/2022,ACCESS,0
7/12/2022,ACCESS,"4,398.97"
6/12/2022,ACCESS,0
5/12/2022,ACCESS,"2,871.16"
1/12/2022,ACCESS,0
30/11/2022,ACCESS,0
29/11/2022,ACCESS,0
28/11/2022,ACCESS,0
25/11/2022,ACCESS,0
24/11/2022,ACCESS,0
23/11/2022,ACCESS,0
22/11/2022,ACCESS,0
21/11/2022,ACCESS,0
18/11/2022,ACCESS,0
17/11/2022,ACCESS,401
16/11/2022,ACCESS,"4,747.84"
15/11/2022,ACCESS,0
14/11/2022,ACCESS,104.26
11/11/2022,ACCESS,0
10/11/2022,ACCESS,0
9/11/2022,ACCESS,"21,100.62"
8/11/2022,ACCESS,"10,177.38"
7/11/2022,ACCESS,0
4/11/2022,ACCESS,0
3/11/2022,ACCESS,192.48
2/11/2022,ACCESS,0
1/11/2022,ACCESS,48.12
31/10/2022,ACCESS,0
28/10/2022,ACCESS,12.03
28/10/2022,ACCESS,12.03
27/10/2022,ACCESS,0
26/10/2022,ACCESS,"1,980.94"
25/10/2022,ACCESS,20.05
24/10/2022,ACCESS,120.3
21/10/2022,ACCESS,0
20/10/2022,ACCESS,0
19/10/2022,ACCESS,224.56
18/10/2022,ACCESS,0
17/10/2022,ACCESS,0
14/10/2022,ACCESS,0
13/10/2022,ACCESS,0
12/10/2022,ACCESS,0
11/10/2022,ACCESS,0
10/10/2022,ACCESS,0
7/10/2022,ACCESS,0
6/10/2022,ACCESS,0
5/10/2022,ACCESS,0
4/10/2022,ACCESS,0
3/10/2022,ACCESS,0
30/09/2022,ACCESS,"1,194.98"
29/09/2022,ACCESS,0
28/09/2022,ACCESS,0
27/09/2022,ACCESS,"10,939.28"
23/09/2022,ACCESS,0
22/09/2022,ACCESS,0
20/09/2022,ACCESS,"8,000.00"
19/09/2022,ACCESS,0
16/09/2022,ACCESS,0
15/09/2022,ACCESS,0
14/09/2022,ACCESS,0
13/09/2022,ACCESS,0
12/9/2022,ACCESS,"8,857.80"
9/9/2022,ACCESS,0
8/9/2022,ACCESS,0
7/9/2022,ACCESS,0
6/9/2022,ACCESS,0
5/9/2022,ACCESS,0
2/9/2022,ACCESS,0
1/9/2022,ACCESS,0
31/08/2022,ACCESS,0
30/08/2022,ACCESS,"363,000.00"
29/08/2022,ACCESS,0
26/08/2022,ACCESS,0
25/08/2022,ACCESS,0
24/08/2022,ACCESS,330
23/08/2022,ACCESS,0
22/08/2022,ACCESS,0
19/08/2022,ACCESS,"10,560.00"
18/08/2022,ACCESS,0
17/08/2022,ACCESS,0
16/08/2022,ACCESS,0
15/08/2022,ACCESS,0
12/8/2022,ACCESS,0
11/8/2022,ACCESS,0
10/8/2022,ACCESS,"3,000.00"
9/8/2022,ACCESS,"1,500.00"
8/8/2022,ACCESS,"8,250.00"
5/8/2022,ACCESS,"6,000.00"
3/8/2022,ACCESS,"2,900.00"
2/8/2022,ACCESS,"162,725.00"
1/8/2022,ACCESS,"24,213.75"
29/07/2022,ACCESS,"6,849.30"
28/07/2022,ACCESS,"126,500.00"
27/07/2022,ACCESS,0
26/07/2022,ACCESS,0
25/07/2022,ACCESS,0
22/07/2022,ACCESS,253
21/07/2022,ACCESS,0
20/07/2022,ACCESS,0
19/07/2022,ACCESS,0
18/07/2022,ACCESS,0
14/07/2022,ACCESS,0
13/07/2022,ACCESS,0
12/7/2022,ACCESS,0
8/7/2022,ACCESS,0
7/7/2022,ACCESS,0
6/7/2022,ACCESS,0
5/7/2022,ACCESS,0
4/7/2022,ACCESS,0
1/7/2022,ACCESS,0
30/06/2022,ACCESS,"2,703.27"
29/06/2022,ACCESS,0
28/06/2022,ACCESS,0
27/06/2022,ACCESS,0
24/06/2022,ACCESS,251
23/06/2022,ACCESS,0
22/06/2022,ACCESS,0
20/06/2022,ACCESS,"1,656.60"
17/06/2022,ACCESS,0
16/06/2022,ACCESS,0
15/06/2022,ACCESS,0
14/06/2022,ACCESS,0
13/06/2022,ACCESS,0
10/6/2022,ACCESS,323.79
9/6/2022,ACCESS,0
8/6/2022,ACCESS,0
7/6/2022,ACCESS,"2,000.00"
6/6/2022,ACCESS,0
3/6/2022,ACCESS,0
2/6/2022,ACCESS,0
1/6/2022,ACCESS,0
31/05/2022,ACCESS,0
30/05/2022,ACCESS,720
27/05/2022,ACCESS,0
26/05/2022,ACCESS,0
25/05/2022,ACCESS,0
24/05/2022,ACCESS,0
23/05/2022,ACCESS,0
20/05/2022,ACCESS,0
19/05/2022,ACCESS,0
18/05/2022,ACCESS,0
17/05/2022,ACCESS,4.6
16/05/2022,ACCESS,0
13/05/2022,ACCESS,0
12/5/2022,ACCESS,0
11/5/2022,ACCESS,0
10/5/2022,ACCESS,0
9/5/2022,ACCESS,0
6/5/2022,ACCESS,0
5/5/2022,ACCESS,0
4/5/2022,ACCESS,0
29/04/2022,ACCESS,0
28/04/2022,ACCESS,0
27/04/2022,ACCESS,"1,725.00"
26/04/2022,ACCESS,0
25/04/2022,ACCESS,0
22/04/2022,ACCESS,0
21/04/2022,ACCESS,0
20/04/2022,ACCESS,0
19/04/2022,ACCESS,297.7
14/04/2022,ACCESS,"4,394.51"
13/04/2022,ACCESS,0
12/4/2022,ACCESS,0
11/4/2022,ACCESS,"2,862.50"
8/4/2022,ACCESS,0
7/4/2022,ACCESS,522.5
6/4/2022,ACCESS,0
5/4/2022,ACCESS,"24,087.25"
4/4/2022,ACCESS,0
1/4/2022,ACCESS,0
31/03/2022,ACCESS,"1,672.00"
30/03/2022,ACCESS,0
29/03/2022,ACCESS,0
28/03/2022,ACCESS,0
25/03/2022,ACCESS,0
24/03/2022,ACCESS,0
23/03/2022,ACCESS,"2,090.00"
22/03/2022,ACCESS,0
21/03/2022,ACCESS,0
18/03/2022,ACCESS,"18,053.80"
17/03/2022,ACCESS,0
16/03/2022,ACCESS,0
15/03/2022,ACCESS,934.8
14/03/2022,ACCESS,"825,688.70"
11/3/2022,ACCESS,"252,407.40"
10/3/2022,ACCESS,"25,080.00"
9/3/2022,ACCESS,332.5
8/3/2022,ACCESS,41.8
4/3/2022,ACCESS,"8,587.30"
3/3/2022,ACCESS,"3,822.00"
2/3/2022,ACCESS,"4,000.00"
1/3/2022,ACCESS,0
28/02/2022,ACCESS,"4,334.00"
25/02/2022,ACCESS,"24,256.00"
24/02/2022,ACCESS,18
23/02/2022,ACCESS,200
22/02/2022,ACCESS,"96,840.00"
21/02/2022,ACCESS,"4,876.20"
18/02/2022,ACCESS,"36,111.36"
17/02/2022,ACCESS,582.5
16/02/2022,ACCESS,0
15/02/2022,ACCESS,0
14/02/2022,ACCESS,58.25
11/2/2022,ACCESS,"1,542.46"
10/2/2022,ACCESS,"3,495.00"
9/2/2022,ACCESS,0
8/2/2022,ACCESS,12.9
7/2/2022,ACCESS,"2,580.00"
4/2/2022,ACCESS,0
3/2/2022,ACCESS,0
2/2/2022,ACCESS,0
1/2/2022,ACCESS,0
31/01/2022,ACCESS,"4,859.25"
28/01/2022,ACCESS,855
27/01/2022,ACCESS,"2,850.00"
26/01/2022,ACCESS,0
25/01/2022,ACCESS,0
24/01/2022,ACCESS,0
21/01/2022,ACCESS,0
20/01/2022,ACCESS,0
19/01/2022,ACCESS,94.5
18/01/2022,ACCESS,0
17/01/2022,ACCESS,0
14/01/2022,ACCESS,0
13/01/2022,ACCESS,0
12/1/2022,ACCESS,0
11/1/2022,ACCESS,504
10/1/2022,ACCESS,548.1
6/1/2022,ACCESS,0
5/1/2022,ACCESS,0
4/1/2022,ACCESS,0
31/12/2021,ACCESS,0
30/12/2021,ACCESS,"6,394.50"
29/12/2021,ACCESS,0
24/12/2021,ACCESS,0
23/12/2021,ACCESS,0
22/12/2021,ACCESS,0
21/12/2021,ACCESS,0
20/12/2021,ACCESS,"35,380.80"
17/12/2021,ACCESS,0
16/12/2021,ACCESS,0
15/12/2021,ACCESS,"1,115.10"
14/12/2021,ACCESS,0
13/12/2021,ACCESS,945
10/12/2021,ACCESS,0
9/12/2021,ACCESS,0
8/12/2021,ACCESS,0
7/12/2021,ACCESS,0
6/12/2021,ACCESS,0
2/12/2021,ACCESS,0
1/12/2021,ACCESS,0
30/11/2021,ACCESS,0
29/11/2021,ACCESS,0
26/11/2021,ACCESS,0
25/11/2021,ACCESS,0
24/11/2021,ACCESS,563.85
23/11/2021,ACCESS,0
22/11/2021,ACCESS,0
18/11/2021,ACCESS,0
17/11/2021,ACCESS,0
16/11/2021,ACCESS,176.4
15/11/2021,ACCESS,497.7
12/11/2021,ACCESS,0
11/11/2021,ACCESS,"1,953.00"
10/11/2021,ACCESS,"27,972.00"
9/11/2021,ACCESS,"6,180.79"
8/11/2021,ACCESS,0
5/11/2021,ACCESS,0
4/11/2021,ACCESS,0
3/11/2021,ACCESS,0
2/11/2021,ACCESS,0
1/11/2021,ACCESS,"2,443.00"
29/10/2021,ACCESS,0
28/10/2021,ACCESS,0
27/10/2021,ACCESS,0
26/10/2021,ACCESS,0
25/10/2021,ACCESS,0
22/10/2021,ACCESS,0
21/10/2021,ACCESS,0
20/10/2021,ACCESS,0
19/10/2021,ACCESS,0
18/10/2021,ACCESS,0
15/10/2021,ACCESS,0
14/10/2021,ACCESS,0
13/10/2021,ACCESS,680.55
12/10/2021,ACCESS,0
11/10/2021,ACCESS,3.49
8/10/2021,ACCESS,0
7/10/2021,ACCESS,0
6/10/2021,ACCESS,0
5/10/2021,ACCESS,34.9
4/10/2021,ACCESS,0
1/10/2021,ACCESS,"52,404.00"
30/09/2021,ACCESS,0
29/09/2021,ACCESS,349
28/09/2021,ACCESS,0
27/09/2021,ACCESS,0
24/09/2021,ACCESS,0
23/09/2021,ACCESS,0
22/09/2021,ACCESS,0
20/09/2021,ACCESS,"19,195.00"
16/09/2021,ACCESS,0
15/09/2021,ACCESS,0
14/09/2021,ACCESS,0
13/09/2021,ACCESS,0
10/9/2021,ACCESS,0
9/9/2021,ACCESS,0
8/9/2021,ACCESS,"3,490.00"
7/9/2021,ACCESS,0
6/9/2021,ACCESS,0
3/9/2021,ACCESS,0
2/9/2021,ACCESS,0
1/9/2021,ACCESS,0
31/08/2021,ACCESS,0
30/08/2021,ACCESS,69.8
27/08/2021,ACCESS,0
26/08/2021,ACCESS,0
25/08/2021,ACCESS,0
24/08/2021,ACCESS,0
23/08/2021,ACCESS,0
20/08/2021,ACCESS,0
19/08/2021,ACCESS,0
18/08/2021,ACCESS,0
17/08/2021,ACCESS,349
16/08/2021,ACCESS,0
13/08/2021,ACCESS,0
12/8/2021,ACCESS,0
11/8/2021,ACCESS,0
10/8/2021,ACCESS,0
9/8/2021,ACCESS,69.8
6/8/2021,ACCESS,0
5/8/2021,ACCESS,0
3/8/2021,ACCESS,0
2/8/2021,ACCESS,0
