Daily Date,Share Code,Total Value Traded (GH¢)
29/12/2023,CAL,"14,058.24"
28/12/2023,CAL,"2,207.52"
27/12/2023,CAL,"151,629.12"
22/12/2023,CAL,"142,606.08"
21/12/2023,CAL,"10,911.36"
20/12/2023,CAL,"902,155.72"
19/12/2023,CAL,"200,696.82"
18/12/2023,CAL,659
15/12/2023,CAL,"3,295.50"
14/12/2023,CAL,"1,176.57"
13/12/2023,CAL,"4,493.10"
12/12/2023,CAL,"1,472.88"
11/12/2023,CAL,871.59
8/12/2023,CAL,"1,360.17"
7/12/2023,CAL,51
6/12/2023,CAL,902.7
5/12/2023,CAL,"5,164.26"
4/12/2023,CAL,"1,184.22"
30/11/2023,CAL,"1,550.91"
29/11/2023,CAL,"7,347.57"
28/11/2023,CAL,443.7
27/11/2023,CAL,107.61
24/11/2023,CAL,41.31
23/11/2023,CAL,"30,457.20"
22/11/2023,CAL,"7,416.93"
21/11/2023,CAL,"6,072.57"
20/11/2023,CAL,"2,748.08"
17/11/2023,CAL,255
16/11/2023,CAL,"1,032.75"
15/11/2023,CAL,419.73
14/11/2023,CAL,"2,948.82"
13/11/2023,CAL,"3,610.80"
10/11/2023,CAL,622.71
9/11/2023,CAL,"20,147.04"
8/11/2023,CAL,"2,677.50"
7/11/2023,CAL,"12,824.46"
6/11/2023,CAL,"5,928.45"
3/11/2023,CAL,687.5
2/11/2023,CAL,"11,424.60"
1/11/2023,CAL,"1,650.00"
31/10/2023,CAL,"4,356.00"
30/10/2023,CAL,"1,331.50"
27/10/2023,CAL,"3,370.50"
26/10/2023,CAL,"2,000.00"
25/10/2023,CAL,71.5
24/10/2023,CAL,"32,269.50"
23/10/2023,CAL,1
20/10/2023,CAL,0
19/10/2023,CAL,0
18/10/2023,CAL,0
17/10/2023,CAL,642.5
16/10/2023,CAL,895.5
13/10/2023,CAL,"4,879.00"
12/10/2023,CAL,71.5
11/10/2023,CAL,0
10/10/2023,CAL,"1,499.50"
9/10/2023,CAL,0
6/10/2023,CAL,"9,460.00"
5/10/2023,CAL,"22,235.50"
4/10/2023,CAL,"232,447.44"
3/10/2023,CAL,"5,313.88"
2/10/2023,CAL,0
29/09/2023,CAL,"1,012.96"
28/09/2023,CAL,828.88
27/09/2023,CAL,"14,161.68"
26/09/2023,CAL,"1,207.44"
25/09/2023,CAL,"11,453.52"
22/09/2023,CAL,"2,119.70"
20/09/2023,CAL,"11,000.00"
19/09/2023,CAL,"1,021.90"
18/09/2023,CAL,"1,042.25"
15/09/2023,CAL,"3,312.10"
14/09/2023,CAL,"4,934.05"
13/09/2023,CAL,"4,524.85"
12/9/2023,CAL,"11,745.36"
11/9/2023,CAL,"3,671.40"
8/9/2023,CAL,"1,519.20"
7/9/2023,CAL,"7,867.20"
6/9/2023,CAL,674.4
5/9/2023,CAL,4.2
4/9/2023,CAL,"4,159.80"
1/9/2023,CAL,486.78
30/08/2023,CAL,"8,764.48"
29/08/2023,CAL,698.7
28/08/2023,CAL,"6,534.93"
25/08/2023,CAL,"4,365.42"
24/08/2023,CAL,146.32
23/08/2023,CAL,"9,076.12"
22/08/2023,CAL,"1,342.72"
21/08/2023,CAL,"1,920.00"
18/08/2023,CAL,509.44
16/08/2023,CAL,"5,811.84"
15/08/2023,CAL,"2,624.00"
11/8/2023,CAL,"6,664.96"
10/8/2023,CAL,289.28
9/8/2023,CAL,253.44
8/8/2023,CAL,357.12
7/8/2023,CAL,759.04
2/8/2023,CAL,"1,313.92"
1/8/2023,CAL,476.8
31/07/2023,CAL,640
28/07/2023,CAL,"3,280.64"
27/07/2023,CAL,"2,403.84"
26/07/2023,CAL,"1,096.96"
25/07/2023,CAL,"2,058.92"
24/07/2023,CAL,0
21/07/2023,CAL,"2,152.20"
20/07/2023,CAL,314.4
19/07/2023,CAL,"2,161.80"
18/07/2023,CAL,"3,453.60"
17/07/2023,CAL,"5,594.40"
14/07/2023,CAL,"1,120.20"
13/07/2023,CAL,22.8
12/7/2023,CAL,"231,429.74"
11/7/2023,CAL,0
10/7/2023,CAL,"1,260.00"
7/7/2023,CAL,957
6/7/2023,CAL,0.6
5/7/2023,CAL,"24,903.00"
4/7/2023,CAL,"182,682.00"
3/7/2023,CAL,"3,317.40"
30/06/2023,CAL,"2,329.80"
29/06/2023,CAL,724.8
27/06/2023,CAL,"422,746.80"
26/06/2023,CAL,7.2
23/06/2023,CAL,431.4
22/06/2023,CAL,"18,059.00"
21/06/2023,CAL,41.89
20/06/2023,CAL,"14,785.93"
19/06/2023,CAL,0
16/06/2023,CAL,"1,609.44"
15/06/2023,CAL,"12,040.55"
14/06/2023,CAL,"24,196.95"
13/06/2023,CAL,0
12/6/2023,CAL,0
9/6/2023,CAL,0
8/6/2023,CAL,0
7/6/2023,CAL,"1,000.00"
5/6/2023,CAL,57.5
2/6/2023,CAL,"7,817.50"
1/6/2023,CAL,0
31/05/2023,CAL,114.5
30/05/2023,CAL,"2,503.00"
29/05/2023,CAL,"25,820.50"
26/05/2023,CAL,"1,053.00"
25/05/2023,CAL,"39,181.50"
24/05/2023,CAL,"6,890.50"
23/05/2023,CAL,"3,907.50"
22/05/2023,CAL,11.5
19/05/2023,CAL,782.42
18/05/2023,CAL,313.5
17/05/2023,CAL,"1,006.00"
16/05/2023,CAL,117.5
15/05/2023,CAL,174
12/5/2023,CAL,969
11/5/2023,CAL,"2,195.00"
10/5/2023,CAL,"5,588.50"
9/5/2023,CAL,120.5
8/5/2023,CAL,193.5
5/5/2023,CAL,"1,063.00"
4/5/2023,CAL,"7,139.50"
3/5/2023,CAL,"4,707.00"
2/5/2023,CAL,"45,914.50"
28/04/2023,CAL,47.5
27/04/2023,CAL,0
26/04/2023,CAL,651.5
25/04/2023,CAL,0
21/04/2023,CAL,677
20/04/2023,CAL,150
19/04/2023,CAL,56
18/04/2023,CAL,"1,496.00"
17/04/2023,CAL,50
14/04/2023,CAL,"1,417.00"
13/04/2023,CAL,938.5
12/4/2023,CAL,"1,467.50"
11/4/2023,CAL,202
6/4/2023,CAL,0
5/4/2023,CAL,145.5
5/4/2023,CAL,145.5
4/4/2023,CAL,500
3/4/2023,CAL,62
31/03/2023,CAL,"2,234.00"
30/03/2023,CAL,"12,367.00"
29/03/2023,CAL,"15,319.00"
28/03/2023,CAL,"12,349.50"
27/03/2023,CAL,0
24/03/2023,CAL,0
23/03/2023,CAL,50
22/03/2023,CAL,"7,897.50"
21/03/2023,CAL,"5,450.00"
20/03/2023,CAL,636.5
17/03/2023,CAL,"17,653.50"
16/03/2023,CAL,980.5
15/03/2023,CAL,"12,932.00"
14/03/2023,CAL,"3,450.00"
13/03/2023,CAL,0
10/3/2023,CAL,"11,867.00"
9/3/2023,CAL,"10,914.50"
8/3/2023,CAL,"1,847.22"
7/3/2023,CAL,"6,722.82"
3/3/2023,CAL,"3,154.86"
2/3/2023,CAL,442.68
1/3/2023,CAL,"5,463.63"
28/02/2023,CAL,"12,236.94"
27/02/2023,CAL,"11,528.04"
24/02/2023,CAL,510
23/02/2023,CAL,"33,652.35"
22/02/2023,CAL,"4,047.87"
21/02/2023,CAL,990.93
20/02/2023,CAL,14.28
17/02/2023,CAL,"12,700.02"
16/02/2023,CAL,25.5
15/02/2023,CAL,"2,866.71"
14/02/2023,CAL,"1,613.13"
13/02/2023,CAL,"2,398.53"
10/2/2023,CAL,"15,427.65"
9/2/2023,CAL,"6,396.47"
8/2/2023,CAL,715.68
7/2/2023,CAL,"1,621.20"
