Month,Monthly Value Traded(GH¢)
2019-01,1060.8571
2019-02,612.0
2019-03,78.0
2019-04,0.0
2019-05,0.0
2019-06,1416.8421
2019-07,1503.6522
2019-08,1037.381
2019-09,728.95
2019-10,84.2609
2019-11,81.0
2019-12,201.2105
2020-01,85.7143
2020-02,0.0
2020-03,20.9524
2020-04,219.5
2020-05,0.0
2020-06,0.0
2020-07,0.0
2020-08,0.0
2020-09,0.0
2020-10,0.0
2020-11,0.0
2020-12,0.0
2021-01,2456.8026
2021-02,0.0
2021-03,0.0
2021-04,0.0
2021-05,9.4737
2021-06,511.8876
2021-07,2312.2081
2021-08,23.2667
2021-09,1151.7
2021-10,2529.6638
2021-11,1894.6067
2021-12,2191.77
2022-01,511.0974
2022-02,8745.3335
2022-03,51941.3773
2022-04,1783.6558
2022-05,36.23
2022-06,330.2219
2022-07,7031.7
2022-08,26476.3068
2022-09,1449.603
2022-10,107.7232
2022-11,1671.4409
2022-12,476.6068
2023-01,57.8284
2023-02,4228.6742
2023-03,103.8182
2023-04,2222.3428
2023-05,97.0295
2023-06,3391.01
2023-07,9733.6086
2023-08,15949.4889
2023-09,9879.7
2023-10,3455.7136
2023-11,7492.8364
2023-12,8381.9444
