Month,Monthly Value Traded(GH¢)
2019-01,83105.2381
2019-02,15577.15
2019-03,47689.1905
2019-04,510461.25
2019-05,115612.6818
2019-06,59701.4444
2019-07,49379.05
2019-08,41951.5
2019-09,252734.5263
2019-10,92934.0455
2019-11,29545.5217
2019-12,73780.2105
2020-01,156645.7143
2020-02,998.0
2020-03,56309.0435
2020-04,1407.9
2020-05,30849.2105
2020-06,296110.5
2020-07,75278.1429
2020-08,307449.381
2020-09,12210.1905
2020-10,1009672.6522
2020-11,46988.4
2020-12,462996.5789
2021-01,264520.5618
2021-02,108456.455
2021-03,84547.0911
2021-04,252106.467
2021-05,415590.549
2021-06,79828.0476
2021-07,238551.5689
2021-08,195550.5755
2021-09,86615.4814
2021-10,177644.535
2021-11,197613.6316
2021-12,50854.9786
2022-01,41855.5832
2022-02,84148.5694
2022-03,19459.1165
2022-04,137094.4874
2022-05,163423.9248
2022-06,30241.6905
2022-07,23843.9375
2022-08,34736.94
2022-09,145422.9675
2022-10,9793.1091
2022-11,8433.8676
2022-12,57306.7415
2023-01,59105.8178
2023-02,4414.7917
2023-03,139399.5952
2023-04,145961.3928
2023-05,28004.8536
2023-06,1664395.0357
2023-07,165939.0019
2023-08,813701.4084
2023-09,357575.0925
2023-10,55565.2029
2023-11,117908.7791
2023-12,60081.8642
