Date,Rate
2019-01-01,14.65
2019-02-01,14.71
2019-03-01,14.71
2019-04-01,14.7
2019-05-01,14.85
2019-06-01,14.78
2019-07-01,14.73
2019-08-01,14.72
2019-09-01,14.69
2019-10-01,14.69
2019-11-01,14.69
2019-12-01,14.69
2020-01-01,14.69
2020-02-01,14.71
2020-03-01,14.73
2020-04-01,14.05
2020-05-01,13.95
2020-06-01,13.97
2020-07-01,13.95
2020-08-01,14.02
2020-09-01,14.02
2020-10-01,14.05
2020-11-01,14.05
2020-12-01,14.08
2021-01-01,14.09
2021-02-01,13.55
2021-03-01,13.02
2021-04-01,12.81
2021-05-01,12.78
2021-06-01,12.65
2021-07-01,12.56
2021-08-01,12.49
2021-09-01,12.47
2021-10-01,12.46
2021-11-01,12.48
2021-12-01,12.49
2022-01-01,12.55
2022-02-01,12.82
2022-03-01,13.49
2022-04-01,16.22
2022-05-01,19.05
2022-06-01,24.15
2022-07-01,26.16
2022-08-01,27.68
2022-09-01,29.65
2022-10-01,31.53
2022-11-01,34.62
2022-12-01,35.48
2023-01-01,35.62
2023-02-01,35.67
2023-03-01,20.38
2023-04-01,19.67
2023-05-01,0.0
2023-06-01,0.0
2023-07-01,0.0
2023-08-01,0.0
2023-09-01,0.0
2023-10-01,0.0
2023-11-01,0.0
2023-12-01,0.0
