Month,Monthly Value Traded(GH¢)
2019-01,62255.4429
2019-02,48827.765
2019-03,28583.715
2019-04,12279.995
2019-05,8883.1
2019-06,63429.9632
2019-07,13939.2348
2019-08,42079.5238
2019-09,19015.775
2019-10,19479.5652
2019-11,278039.3095
2019-12,5584.8316
2020-01,194966.0
2020-02,30110.02
2020-03,6656.481
2020-04,9921.565
2020-05,2447.8947
2020-06,67558.4091
2020-07,4448.8636
2020-08,8130.0
2020-09,58912.6905
2020-10,24741.8136
2020-11,367405.7857
2020-12,4464.505
2021-01,29606.6658
2021-02,5745.9079
2021-03,9926.205
2021-04,8177.0365
2021-05,22036.59
2021-06,29971.4667
2021-07,21986.0857
2021-08,59259.2571
2021-09,17163.29
2021-10,22760.9905
2021-11,4308.0381
2021-12,166058.8425
2022-01,73259.4947
2022-02,23444.47
2022-03,58789.9682
2022-04,12193.8105
2022-05,4924.855
2022-06,4002.9095
2022-07,4977.4526
2022-08,23268.5455
2022-09,56475.604
2022-10,694.6809
2022-11,887.2727
2022-12,6183.6974
2023-01,941.6625
2023-02,808.2158
2023-03,4308.7636
2023-04,3226.1778
2023-05,7461.2918
2023-06,45498.4675
2023-07,3420.0057
2023-08,106915.7956
2023-09,9967.041
2023-10,6789.6655
2023-11,4931.8505
2023-12,32920.7206
