Month,Monthly Value Traded(GH¢)
2019-01,4765.7619
2019-02,28065.8
2019-03,4108.25
2019-04,1066.4
2019-05,5885.1818
2019-06,7635.6842
2019-07,10891.6087
2019-08,9221.619
2019-09,1297.0
2019-10,4896.6957
2019-11,7313.0
2019-12,10340.7895
2020-01,12741.7143
2020-02,4402.9
2020-03,2492.9524
2020-04,257.4
2020-05,3640.6316
2020-06,2180.2273
2020-07,1426.0
2020-08,4404.7
2020-09,2153.0952
2020-10,4849.9091
2020-11,26058.0476
2020-12,467.6
2021-01,1596.48
2021-02,742.5726
2021-03,1630.0275
2021-04,4835.2865
2021-05,84394.0163
2021-06,8281.5638
2021-07,7261.3795
2021-08,2625.031
2021-09,3972.888
2021-10,6636.7638
2021-11,8578.9143
2021-12,46364.907
2022-01,1845.7263
2022-02,2992.08
2022-03,18077.4323
2022-04,7480.2542
2022-05,826.3955
2022-06,3166.91
2022-07,1824.7411
2022-08,46584.5932
2022-09,61942.1195
2022-10,5536.8182
2022-11,9114.6364
2022-12,17758.4626
2023-01,166.1045
2023-02,162.2068
2023-03,3555.1609
2023-04,1191.1233
2023-05,6176.8082
2023-06,1989.2125
2023-07,628.5667
2023-08,5306.8311
2023-09,3295.662
2023-10,4914.4536
2023-11,850.505
2023-12,53735.5894
