Timestamp,Do you grant your consent to participate in this survey?,Gender,Age,Kindly select your university of study,Level,Religion,Location,Ethnicity,Study's financing,Medications intake due to studies,Is radiography your desired profession?,I feel emotionally drained by my studies.,I feel used up at the end of a day at school.,I feel like my courses are breaking me down.,I feel frustrated by my course activities.,I feel studying or attending a class is really a strain on me.,I have become less interested in my studies since my enrollment at the school.,I have become less enthusiastic about my studies.,I have become more cynical about the potential usefulness of my studies.,I doubt the significance of my studies.,I can effectively solve the problems that arise in my studies.,I believe that I make an effective contribution to the classes that I attend.,"In my opinion, I am a good student.",I have learned many interesting things during the course of my studies.,I feel stimulated when I achieve my study goals.,During class I feel confident that I am effective in getting things done.
2024/07/16 12:19:19 PM PDT,Yes,Female,21 - 23,UG,400,Cristian,Off Campus,Ga,Family,Sometimes,Yes,6,6,6,6,6,6,6,6,0,6,6,6,6,6,6
2024/07/16 12:23:35 PM PDT,Yes,Male,21 - 23,COHk,300,Cristian,Off Campus,Others,Family,Never,Yes,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3
2024/07/16 12:26:52 PM PDT,Yes,Male,24 - 27,COHk,300,Cristian,Off Campus,Others,Family,Sometimes,Yes,6,6,6,6,6,0,6,0,0,3,2,6,6,6,6
2024/07/16 12:37:54 PM PDT,Yes,Male,21 - 23,COHk,300,Muslim,Off Campus,Others,Family,Sometimes,Yes,6,6,6,6,6,6,6,6,6,3,3,0,6,6,6
2024/07/16 12:38:43 PM PDT,Yes,Male,21 - 23,COHk,300,Cristian,Off Campus,Akan,Family,Sometimes,Yes,6,6,6,6,6,3,1,2,3,3,2,6,6,5,6
2024/07/16 12:39:36 PM PDT,Yes,Male,21 - 23,COHk,300,Cristian,Off Campus,Akan,Family,Never,Yes,6,6,6,6,6,1,1,0,0,2,3,4,5,4,3
2024/07/16 12:40:33 PM PDT,Yes,Male,21 - 23,COHk,300,Cristian,Off Campus,Akan,Family,Sometimes,Yes,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6
2024/07/16 12:41:33 PM PDT,Yes,Male,21 - 23,COHk,300,Cristian,Off Campus,Ga,Family,Never,Yes,6,6,6,6,6,0,0,0,0,6,5,4,3,1,0
2024/07/16 12:42:39 PM PDT,Yes,Male,21 - 23,COHk,300,Cristian,Off Campus,Ewe,Family,Frequently,Yes,6,6,6,6,5,0,1,2,3,0,1,2,3,4,5
2024/07/16 12:43:32 PM PDT,Yes,Male,21 - 23,COHk,300,Cristian,Off Campus,Akan,Scholarship,Frequently,Yes,6,6,5,6,6,0,1,2,0,3,4,5,6,5,4
2024/07/16 12:44:47 PM PDT,Yes,Male,21 - 23,COHk,300,Cristian,Off Campus,Ewe,Loan,Sometimes,Yes,6,6,6,5,6,0,1,0,0,0,1,2,3,4,6
2024/07/16 12:46:02 PM PDT,Yes,Male,21 - 23,COHk,300,Cristian,Off Campus,Others,Family,Sometimes,Yes,6,5,6,6,6,6,6,6,6,6,6,6,6,6,6
2024/07/16 12:46:45 PM PDT,Yes,Male,21 - 23,COHk,300,Cristian,Off Campus,Akan,Family,Sometimes,Yes,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2024/07/16 12:47:23 PM PDT,Yes,Male,21 - 23,COHk,300,Cristian,Off Campus,Akan,Family,Sometimes,Yes,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
2024/07/16 12:48:01 PM PDT,Yes,Male,21 - 23,COHk,300,Cristian,Off Campus,Akan,Scholarship,Never,Yes,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2
2024/07/16 12:48:50 PM PDT,Yes,Male,21 - 23,COHk,300,Cristian,Off Campus,Ga,Family,Sometimes,Yes,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3
2024/07/16 12:49:57 PM PDT,Yes,Male,21 - 23,COHk,300,Cristian,Off Campus,Ga,Scholarship,Never,Yes,4,4,4,4,4,3,3,3,3,3,3,3,3,3,3
2024/07/16 12:50:55 PM PDT,Yes,Male,24 - 27,COHk,300,Cristian,Off Campus,Akan,Scholarship,Never,Yes,4,4,4,4,4,4,0,0,0,4,4,4,4,4,4
