,Price,Date
0,83.94,2023-01-01
1,85.48,2022-01-01
2,55.33,2021-01-01
3,63.67,2020-01-01
4,60.23,2019-01-01
5,69.09,2018-01-01
6,55.51,2017-01-01
7,31.93,2016-01-01
8,49.77,2015-01-01
9,107.32,2014-01-01
10,112.28,2013-01-01
11,111.63,2012-01-01
12,96.82,2011-01-01
13,76.92,2010-01-01
14,45.62,2009-01-01
15,91.92,2008-01-01
16,54.56,2007-01-01
17,63.86,2006-01-01
18,44.88,2005-01-01
19,30.56,2004-01-01
20,30.18,2003-01-01
21,19.96,2002-01-01
22,25.19,2000-01-01
23,83.92,2023-02-01
24,94.28,2022-02-01
25,62.27,2021-02-01
26,55.53,2020-02-01
27,64.5,2019-02-01
28,65.7,2018-02-01
29,55.98,2017-02-01
30,33.44,2016-02-01
31,58.7,2015-02-01
32,108.8,2014-02-01
33,116.11,2013-02-01
34,119.15,2012-02-01
35,104.09,2011-02-01
36,74.75,2010-02-01
37,43.73,2009-02-01
38,94.49,2008-02-01
39,58.96,2007-02-01
40,61.1,2006-02-01
41,45.85,2005-02-01
42,30.34,2004-02-01
43,32.36,2003-02-01
44,20.19,2002-02-01
45,24.57,2000-02-01
46,79.65,2023-03-01
47,112.51,2022-03-01
48,65.84,2021-03-01
49,33.73,2020-03-01
50,67.05,2019-03-01
51,66.68,2018-03-01
52,52.53,2017-03-01
53,39.8,2016-03-01
54,57.01,2015-03-01
55,107.68,2014-03-01
56,109.53,2013-03-01
57,124.62,2012-03-01
58,114.62,2011-03-01
59,79.9,2010-03-01
60,47.32,2009-03-01
61,102.98,2008-03-01
62,62.36,2007-03-01
63,63.06,2006-03-01
64,53.28,2005-03-01
65,32.73,2004-03-01
66,29.45,2003-03-01
67,24.03,2002-03-01
68,27.25,2000-03-01
69,82.74,2023-04-01
70,105.81,2022-04-01
71,65.33,2021-04-01
72,26.63,2020-04-01
73,71.66,2019-04-01
74,71.67,2018-04-01
75,53.72,2017-04-01
76,43.34,2016-04-01
77,60.9,2015-04-01
78,108.1,2014-04-01
79,103.31,2013-04-01
80,120.37,2012-04-01
81,123.13,2011-04-01
82,85.68,2010-04-01
83,51.23,2009-04-01
84,110.43,2008-04-01
85,67.49,2007-04-01
86,70.56,2006-04-01
87,53.22,2005-04-01
88,30.0,2004-04-01
89,24.79,2003-04-01
90,26.03,2002-04-01
91,23.28,2000-04-01
92,0.0,2023-05-01
93,111.55,2022-05-01
94,68.34,2021-05-01
95,32.11,2020-05-01
96,70.3,2019-05-01
97,77.06,2018-05-01
98,51.11,2017-05-01
99,47.63,2016-05-01
100,65.62,2015-05-01
101,109.2,2014-05-01
102,103.32,2013-05-01
103,109.36,2012-05-01
104,114.53,2011-05-01
105,76.99,2010-05-01
106,58.57,2009-05-01
107,124.61,2008-05-01
108,67.92,2007-05-01
109,70.97,2006-05-01
110,49.85,2005-05-01
111,37.13,2004-05-01
112,25.37,2003-05-01
113,25.69,2002-05-01
114,27.39,2000-05-01
115,0.0,2023-06-01
116,117.22,2022-06-01
117,73.35,2021-06-01
118,40.77,2020-06-01
119,63.05,2019-06-01
120,75.94,2018-06-01
121,47.54,2017-06-01
122,49.89,2016-06-01
123,63.75,2015-06-01
124,111.97,2014-06-01
125,103.3,2013-06-01
126,95.89,2012-06-01
127,113.91,2011-06-01
128,75.66,2010-06-01
129,69.34,2009-06-01
130,133.47,2008-06-01
