Gender,Age,Marital status,household size,What is your highest Level of education?,Do you speak/ understand english,Is farming your primary occupation?,What is your farm Size in acres?,How long have you been in vegetable farming? (years),Are you the Owner of the Farm?,Type of farming system,Do you own a phone?,What type of Phone?,Do you have access to the internet?,Do you have access to any extension officer?,How many visits do you receive from the extension officer in a month?,How much do you earn from farming in a year?,Have you heard about digital agricultural platforms/services?,How did you hear about it?,Radio,Television,Extension agent,Fellow Farmer,FBO,Other,"if other, indicate....",Which of the following digital technology services do you know about? (Tick all you  know about),weather_update services,inputs_seed_fertilizer_agrochemicals-yes or no,market_linkage_platforms,mobile_based_training_services,market_prices_updates_services,Crop_insurance_services,Digital_finance_services_platforms,Pest_and_disease_management_services,Farm_management_platforms_and_tools,Information_and_advisory_services,Supply_chain_management_platforms,Are you registered with any agricultural digital platform/service?,"If yes, Which platform or Service are you registered on?",How_long_have_you_been_on_the_platform_,"A company offers a comprehensive digital technology service tailored to your agricultural  needs.The company provides essential market information, real-time weather updates, facilitates  supply chain linkages crucial for optimizing your production and…",Would you be willing to pay for such services?,"If yes,would you pay GHC 13 a month for such services?","If no,would you pay GHC 10 a month for such services?","Considering the benefits the services come with, would you pay GHC 15 a month for it?",Is ease of use of digital technology services an important factor in your decision to pay  for digital technology services?,Does the cost of digital technology services affect your decision to pay for digital  technology services?,Are you a member of a farmer group or cooperative?,"If yes,does your membership in a farmer group influence your decision to pay for digital  technology services?",Does your farm income play a role in your decision to pay for digital technology  services?,Will the farming system you are practicing affect you in deciding to pay for digital  technology services?,Is internet accessibility important to you when deciding on weather to pay for digital  technology services?,Do you consider recommendations from agricultural experts and fellow farmers when making a decision to pay for digital technology services?,Does the quality and support services influence your willingness to pay for digital  agricultural services in your production and marketing activities?,Does the effectiveness of digital technology services in production and marketing of  vegetable produce influence your willingness to pay for it?,Do you have access to any financial assistance?,"If yes, is your access to financial assistance an important factor in your decision to pay  for digital technology services in your production and marketing activities?",Do you have a ready market for your farm produce?,"If yes,do you think digital platforms will be of use to you in marketing your farm  produce?",Are you open to exploring new ideas and approaches in your day-to-day agricultural  practices?,Do your personal values and beliefs influence your decision to pay for a digital service?,Will your familiarity with the service provider influence your decision to pay for digital  technology services?,Are there any cultural or norms in this community that may affect your decision to pay  for digital technology services?,Do you experience significant variability in weather?,"If yes,would you pay for digital weather update services to help you in your production  activities?",Do you have insurance coverage for your farm?,"If no, would you invest in digital technology services to mitigate risk and reduce  insurance cost?",Would government regulations and policies on digital technology services encourage you  to adopt and pay for them?,Do you think digital technology services are necessary in staying competitive in today’s  agricultural industry?,Will the size of your farm influence your willingness to invest in digital technology  services?,Would you say that smaller farms are hesitant to invest in digital technology services?,Do you believe that larger farms are more likely to see significant return on investment  from adopting digital technology services?,Will the scale of your farm operations affect your budget for adopting digital technology  services?,Do you agree that smaller farms are unable to benefit from the data driven insights  provided by digital technology services?,"Rank the following constraints in order of severity from 1 to 12, where 1 is the most  constraint and 12 is the least pressing constraint",Constraints,Technical complexity,Concerns about data privacy and security,Difficulty in understanding digital content,High service cost,Lack of government support,Difficulty in finding services tailored to solve specific problems,Network/Infrastructural challenges,Lack of adequate information about digital technology services and benefits,Limited trust in digital agricultural service providers,Limited flexibility in payment plan for digital technology service packages,Limited after sale support for farmers on the efficient use of digital technology services,Difficulty in integrating digital technology service data with existing systems
Male,48,Single,1,No formal education,No,Yes,5,8,Yes,Commercial,Yes,Smartphone,Yes,Yes,1,15000,No,,,,,,,,,,no,no,no,no,no,no,no,no,no,no,no,No,,,,Yes,Yes,,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,Yes,Yes,No,No,,No,,Yes,No,,No,Yes,Yes,No,No,Yes,No,Yes,Yes,Yes,Yes,Yes,,,4,9,2,7,12,1,5,3,8,6,11,10
Male,42,Married,7,Middle/JSS/JHS,Yes,No,2,10,Yes,Commercial,Yes,Conventional (Yam),No,Yes,1,2400,Yes,Other,0,0,0,0,0,1,Myself,,yes,no,no,yes,yes,yes,yes,no,no,yes,no,No,,,,Yes,Yes,,Yes,Yes,No,Yes,No,No,No,No,Yes,Yes,Yes,Yes,No,Yes,Yes,Yes,No,No,No,Yes,Yes,No,Yes,Yes,Yes,No,No,Yes,No,No,,,5,3,1,7,4,8,9,6,10,11,2,12
Male,25,Married,5,SHS,Yes,No,1,5,No,Commercial,Yes,Conventional (Yam),No,No,,3000,Yes,Other,0,0,0,0,0,1,Internet,,yes,no,no,no,no,yes,yes,yes,yes,yes,no,No,,,,Yes,Yes,,No,No,No,No,,No,No,No,No,No,No,No,,No,,No,No,No,No,No,,No,No,No,No,No,No,Yes,No,No,,,1,4,2,7,5,9,8,10,3,6,12,11
Male,37,Married,5,Primary,Yes,No,2,10,Yes,Commercial,Yes,Conventional (Yam),No,Yes,1,2800,Yes,Other,0,0,0,0,0,1,Internet,,yes,no,yes,yes,yes,yes,yes,no,yes,yes,yes,No,,,,Yes,Yes,,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,No,No,Yes,Yes,No,Yes,No,Yes,No,No,Yes,No,No,,,5,2,1,6,4,8,7,9,3,11,10,12
Male,46,Married,3,Primary,Yes,Yes,10,15,Yes,Commercial,Yes,Smartphone,Yes,Yes,1,5000,Yes,Other,0,0,0,0,0,1,Internet,,yes,no,no,no,no,no,no,no,no,no,no,No,,,,No,,No,No,No,No,Yes,No,No,Yes,No,No,No,No,No,,No,,No,No,No,No,No,,No,No,No,No,No,No,No,No,No,,,1,3,2,4,5,8,6,7,9,10,11,12
Male,51,Married,2,Primary,No,No,10,10,Yes,Commercial,Yes,Smartphone,Yes,Yes,1,9000,No,,,,,,,,,,no,no,no,no,no,no,yes,no,no,yes,no,No,,,,No,,No,No,No,No,No,,No,No,No,Yes,No,No,Yes,No,Yes,No,No,No,No,No,Yes,No,No,No,No,No,No,No,No,No,Yes,,,1,11,2,3,10,4,9,5,6,12,7,8
Female,39,Married,4,Middle/JSS/JHS,Yes,No,1,4,No,Commercial,Yes,Smartphone,Yes,Yes,1,3000,Yes,Fellow Farmer,0,0,0,1,0,0,,,yes,no,no,yes,no,no,yes,no,no,yes,no,No,,,,No,,No,No,Yes,No,Yes,No,Yes,No,No,No,No,Yes,No,,Yes,No,No,No,No,No,Yes,No,No,No,No,No,Yes,Yes,Yes,Yes,Yes,,,1,9,2,5,6,7,12,3,8,10,11,4
Male,29,Single,1,SHS,Yes,No,2,5,No,Commercial,Yes,Smartphone,Yes,No,,7000,Yes,Other,0,0,0,0,0,1,Internet,,yes,no,yes,yes,no,no,yes,yes,no,yes,no,No,,,,Yes,Yes,,Yes,Yes,Yes,No,,Yes,No,Yes,No,Yes,Yes,No,,Yes,Yes,Yes,No,No,No,Yes,Yes,No,No,Yes,Yes,No,Yes,Yes,Yes,No,,,4,5,10,9,12,1,8,2,11,7,6,3
Female,63,Married,5,No formal education,No,Yes,3,20,Yes,Commercial,Yes,Conventional (Yam),No,Yes,1,6500,No,,,,,,,,,,no,no,no,no,no,no,no,no,no,no,no,No,,,,No,,No,No,Yes,Yes,Yes,No,No,No,No,No,No,No,Yes,No,Yes,No,Yes,No,No,No,Yes,No,No,No,Yes,No,No,Yes,Yes,No,Yes,,,2,8,1,7,9,10,11,5,4,12,6,3
Female,32,Married,3,Middle/JSS/JHS,Yes,No,1,1,No,Commercial,Yes,Smartphone,Yes,Yes,1,3000,Yes,Other,0,0,0,0,0,1,Facebook,,yes,no,no,yes,no,no,yes,yes,no,yes,no,No,,,,Yes,Yes,,Yes,Yes,No,Yes,Yes,Yes,Yes,Yes,No,Yes,Yes,No,,Yes,Yes,Yes,No,Yes,No,Yes,Yes,No,Yes,Yes,Yes,No,Yes,Yes,Yes,No,,,10,4,12,7,8,3,9,5,1,11,2,6
