,Price
2000-01-01,25.19
2000-02-01,24.57
2000-03-01,27.25
2000-04-01,23.28
2000-05-01,27.39
2000-06-01,29.62
2000-07-01,28.76
2000-08-01,30.15
2000-09-01,32.48
2000-10-01,31.58
2000-11-01,32.24
2000-12-01,26.67
2001-01-01,
2001-02-01,
2001-03-01,
2001-04-01,
2001-05-01,
2001-06-01,
2001-07-01,
2001-08-01,
2001-09-01,
2001-10-01,
2001-11-01,
2001-12-01,
2002-01-01,19.96
2002-02-01,20.19
2002-03-01,24.03
2002-04-01,26.03
2002-05-01,25.69
2002-06-01,24.51
2002-07-01,25.67
2002-08-01,26.26
2002-09-01,28.32
2002-10-01,27.51
2002-11-01,24.5
2002-12-01,27.45
2003-01-01,30.18
2003-02-01,32.36
2003-03-01,29.45
2003-04-01,24.79
2003-05-01,25.37
2003-06-01,27.16
2003-07-01,28.21
2003-08-01,29.4
2003-09-01,26.78
2003-10-01,28.97
2003-11-01,28.83
2003-12-01,29.58
2004-01-01,30.56
2004-02-01,30.34
2004-03-01,32.73
2004-04-01,30.0
2004-05-01,37.13
2004-06-01,35.52
2004-07-01,37.67
2004-08-01,41.73
2004-09-01,42.82
2004-10-01,49.38
2004-11-01,44.55
2004-12-01,40.64
2005-01-01,44.88
2005-02-01,45.85
2005-03-01,53.28
2005-04-01,53.22
2005-05-01,49.85
2005-06-01,55.6
2005-07-01,57.93
2005-08-01,63.84
2005-09-01,63.72
2005-10-01,59.44
2005-11-01,56.21
2005-12-01,57.61
2006-01-01,63.86
2006-02-01,61.1
2006-03-01,63.06
2006-04-01,70.56
2006-05-01,70.97
2006-06-01,69.74
2006-07-01,74.24
2006-08-01,73.87
2006-09-01,63.49
2006-10-01,60.13
2006-11-01,60.0
2006-12-01,62.54
2007-01-01,54.56
2007-02-01,58.96
2007-03-01,62.36
2007-04-01,67.49
2007-05-01,67.92
2007-06-01,70.55
2007-07-01,75.84
2007-08-01,71.17
2007-09-01,77.0
2007-10-01,82.47
2007-11-01,92.06
2007-12-01,91.51
2008-01-01,91.92
2008-02-01,94.49
2008-03-01,102.98
2008-04-01,110.43
2008-05-01,124.61
2008-06-01,133.47
2008-07-01,134.79
2008-08-01,115.22
2008-09-01,100.75
2008-10-01,73.6
2008-11-01,55.05
2008-12-01,43.29
2009-01-01,45.62
2009-02-01,43.73
2009-03-01,47.32
2009-04-01,51.23
2009-05-01,58.57
2009-06-01,69.34
2009-07-01,65.76
2009-08-01,73.07
2009-09-01,68.19
2009-10-01,73.87
2009-11-01,77.5
2009-12-01,75.24
2010-01-01,76.92
2010-02-01,74.75
2010-03-01,79.9
2010-04-01,85.68
2010-05-01,76.99
2010-06-01,75.66
2010-07-01,75.49
2010-08-01,77.11
2010-09-01,78.21
2010-10-01,83.49
2010-11-01,86.11
2010-12-01,92.34
2011-01-01,96.82
2011-02-01,104.09
2011-03-01,114.62
2011-04-01,123.13
2011-05-01,114.53
2011-06-01,113.91
2011-07-01,116.68
2011-08-01,109.82
2011-09-01,109.96
2011-10-01,108.8
2011-11-01,110.61
2011-12-01,107.72
2012-01-01,111.63
2012-02-01,119.15
2012-03-01,124.62
2012-04-01,120.37
2012-05-01,109.36
2012-06-01,95.89
2012-07-01,102.77
2012-08-01,113.19
2012-09-01,113.04
2012-10-01,111.52
2012-11-01,109.53
2012-12-01,109.19
2013-01-01,112.28
2013-02-01,116.11
2013-03-01,109.53
2013-04-01,103.31
2013-05-01,103.32
2013-06-01,103.3
2013-07-01,107.37
2013-08-01,110.25
2013-09-01,111.21
2013-10-01,109.45
2013-11-01,107.77
2013-12-01,110.6
2014-01-01,107.32
2014-02-01,108.8
2014-03-01,107.68
2014-04-01,108.1
2014-05-01,109.2
2014-06-01,111.97
2014-07-01,108.21
2014-08-01,103.48
2014-09-01,98.56
2014-10-01,88.07
2014-11-01,79.48
2014-12-01,62.36
2015-01-01,49.77
2015-02-01,58.7
2015-03-01,57.01
2015-04-01,60.9
2015-05-01,65.62
2015-06-01,63.75
2015-07-01,56.75
2015-08-01,48.18
2015-09-01,48.57
2015-10-01,49.12
2015-11-01,45.72
2015-12-01,38.92
2016-01-01,31.93
2016-02-01,33.44
2016-03-01,39.8
2016-04-01,43.34
2016-05-01,47.63
2016-06-01,49.89
2016-07-01,46.58
2016-08-01,47.16
2016-09-01,47.23
2016-10-01,51.42
2016-11-01,47.08
2016-12-01,54.93
2017-01-01,55.51
2017-02-01,55.98
2017-03-01,52.53
2017-04-01,53.72
2017-05-01,51.11
2017-06-01,47.54
2017-07-01,49.2
2017-08-01,51.87
2017-09-01,55.23
2017-10-01,57.47
2017-11-01,62.87
2017-12-01,64.27
2018-01-01,69.09
2018-02-01,65.7
2018-03-01,66.68
2018-04-01,71.67
2018-05-01,77.06
2018-06-01,75.94
