"Year","Variables","Jan","Feb","Mar","Apr","May","Jun","Jul","Aug","Sep","Oct","Nov","Dec"
"2023","International Brent Crude Oil Price (US$/Barrel) - Monthly Average","83.94","83.92","79.65","82.74","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00"
"2022","International Brent Crude Oil Price (US$/Barrel) - Monthly Average","85.48","94.28","112.51","105.81","111.55","117.22","105.14","97.74","90.57","93.60","90.38","81.34"
"2021","International Brent Crude Oil Price (US$/Barrel) - Monthly Average","55.33","62.27","65.84","65.33","68.34","73.35","74.29","70.51","74.88","83.75","80.75","74.80"
"2020","International Brent Crude Oil Price (US$/Barrel) - Monthly Average","63.67","55.53","33.73","26.63","32.11","40.77","43.24","45.04","41.87","41.36","43.98","50.23"
"2019","International Brent Crude Oil Price (US$/Barrel) - Monthly Average","60.23","64.50","67.05","71.66","70.30","63.05","64.19","59.47","62.29","59.63","62.71","65.17"
"2018","International Brent Crude Oil Price (US$/Barrel) - Monthly Average","69.09","65.70","66.68","71.67","77.06","75.94","75.04","73.85","79.09","80.63","65.96","57.67"
"2017","International Brent Crude Oil Price (US$/Barrel) - Monthly Average","55.51","55.98","52.53","53.72","51.11","47.54","49.20","51.87","55.23","57.47","62.87","64.27"
"2016","International Brent Crude Oil Price (US$/Barrel) - Monthly Average","31.93","33.44","39.80","43.34","47.63","49.89","46.58","47.16","47.23","51.42","47.08","54.93"
"2015","International Brent Crude Oil Price (US$/Barrel) - Monthly Average","49.77","58.70","57.01","60.90","65.62","63.75","56.75","48.18","48.57","49.12","45.72","38.92"
"2014","International Brent Crude Oil Price (US$/Barrel) - Monthly Average","107.32","108.80","107.68","108.10","109.20","111.97","108.21","103.48","98.56","88.07","79.48","62.36"
"2013","International Brent Crude Oil Price (US$/Barrel) - Monthly Average","112.28","116.11","109.53","103.31","103.32","103.30","107.37","110.25","111.21","109.45","107.77","110.60"
"2012","International Brent Crude Oil Price (US$/Barrel) - Monthly Average","111.63","119.15","124.62","120.37","109.36","95.89","102.77","113.19","113.04","111.52","109.53","109.19"
"2011","International Brent Crude Oil Price (US$/Barrel) - Monthly Average","96.82","104.09","114.62","123.13","114.53","113.91","116.68","109.82","109.96","108.80","110.61","107.72"
"2010","International Brent Crude Oil Price (US$/Barrel) - Monthly Average","76.92","74.75","79.90","85.68","76.99","75.66","75.49","77.11","78.21","83.49","86.11","92.34"
"2009","International Brent Crude Oil Price (US$/Barrel) - Monthly Average","45.62","43.73","47.32","51.23","58.57","69.34","65.76","73.07","68.19","73.87","77.50","75.24"
"2008","International Brent Crude Oil Price (US$/Barrel) - Monthly Average","91.92","94.49","102.98","110.43","124.61","133.47","134.79","115.22","100.75","73.60","55.05","43.29"
"2007","International Brent Crude Oil Price (US$/Barrel) - Monthly Average","54.56","58.96","62.36","67.49","67.92","70.55","75.84","71.17","77.00","82.47","92.06","91.51"
"2006","International Brent Crude Oil Price (US$/Barrel) - Monthly Average","63.86","61.10","63.06","70.56","70.97","69.74","74.24","73.87","63.49","60.13","60.00","62.54"
"2005","International Brent Crude Oil Price (US$/Barrel) - Monthly Average","44.88","45.85","53.28","53.22","49.85","55.60","57.93","63.84","63.72","59.44","56.21","57.61"
"2004","International Brent Crude Oil Price (US$/Barrel) - Monthly Average","30.56","30.34","32.73","30.00","37.13","35.52","37.67","41.73","42.82","49.38","44.55","40.64"
"2003","International Brent Crude Oil Price (US$/Barrel) - Monthly Average","30.18","32.36","29.45","24.79","25.37","27.16","28.21","29.40","26.78","28.97","28.83","29.58"
"2002","International Brent Crude Oil Price (US$/Barrel) - Monthly Average","19.96","20.19","24.03","26.03","25.69","24.51","25.67","26.26","28.32","27.51","24.50","27.45"
"2000","International Brent Crude Oil Price (US$/Barrel) - Monthly Average","25.19","24.57","27.25","23.28","27.39","29.62","28.76","30.15","32.48","31.58","32.24","26.67"
