Date,Record
2008-01-01,36122
2008-02-01,37215
2008-03-01,33000
2008-04-01,35952
2008-05-01,34236
2008-06-01,39139
2008-07-01,37821
2008-08-01,36232
2008-09-01,37246
2008-10-01,40274
2008-11-01,33547
2008-12-01,33065
2009-01-01,45288
2009-02-01,48519
2009-03-01,47876
2009-04-01,44165
2009-05-01,49297
2009-06-01,48619
2009-07-01,50242
2009-08-01,54713
2009-09-01,52665
2009-10-01,51164
2009-11-01,46928
2009-12-01,47134
2010-01-01,58467
2010-02-01,51824
2010-03-01,58477
2010-04-01,57898
2010-05-01,60195
2010-06-01,66310
2010-07-01,67410
2010-08-01,58483
2010-09-01,58371
2010-10-01,61271
2010-11-01,64150
2010-12-01,64361
2011-01-01,72834
2011-02-01,76652
2011-03-01,85635
2011-04-01,78687
2011-05-01,80306
2011-06-01,93362
2011-07-01,95329
2011-08-01,92644
2011-09-01,90513
2011-10-01,88078
2011-11-01,87885
2011-12-01,82836
2012-01-01,101450
2012-02-01,100761
2012-03-01,106977
2012-04-01,95086
2012-05-01,105102
2012-06-01,121707
2012-07-01,120175
2012-08-01,116142
2012-09-01,103059
2012-10-01,118597
2012-11-01,120767
2012-12-01,107552
2013-01-01,118833
2013-02-01,114254
2013-03-01,114487
2013-04-01,120763
2013-05-01,126781
2013-06-01,134354
2013-07-01,144326
2013-08-01,136072
2013-09-01,130080
2013-10-01,142246
2013-11-01,130947
2013-12-01,117168
2014-01-01,134834
2014-02-01,127771
2014-03-01,123606
2014-04-01,122146
2014-05-01,141308
2014-06-01,149680
2014-07-01,123640
2014-08-01,132747
2014-09-01,134209
2014-10-01,138845
2014-11-01,128864
2014-12-01,115911
2015-01-01,129122
2015-02-01,134372
2015-03-01,130835
2015-04-01,119238
2015-05-01,108025
2015-06-01,128988
2015-07-01,133573
2015-08-01,124410
2015-09-01,125531
2015-10-01,134012
2015-11-01,125881
2015-12-01,121171
2016-01-01,131115
2016-02-01,140968
2016-03-01,133273
2016-04-01,139664
2016-05-01,129527
2016-06-01,139352
2016-07-01,125202
2016-08-01,132890
2016-09-01,124951
2016-10-01,135218
2016-11-01,127046
2016-12-01,111352
2017-01-01,132710
2017-02-01,122726
2017-03-01,123364
2017-04-01,116082
2017-05-01,123570
2017-06-01,122974
2017-07-01,116274
2017-08-01,110126
2017-09-01,106107
2017-10-01,119366
2017-11-01,118925
2017-12-01,117764
2018-01-01,147857
2018-02-01,132740
2018-03-01,128814
2018-04-01,128604
2018-05-01,122538
2018-06-01,129674
2018-07-01,127121
2018-08-01,115459
2018-09-01,106344
2018-10-01,123403
2018-11-01,106227
2018-12-01,98175
2019-01-01,105298
2019-02-01,114760
2019-03-01,119442
2019-04-01,139184
2019-05-01,126028
2019-06-01,129298
2019-07-01,136534
2019-08-01,117355
2019-09-01,115551
2019-10-01,125453
2019-11-01,121421
2019-12-01,97579
2020-01-01,107291
2020-02-01,117133
2020-03-01,104534
2020-04-01,84700
2020-05-01,87412
2020-06-01,93647
2020-07-01,102628
2020-08-01,93907
2020-09-01,78889
2020-10-01,160240
2020-11-01,109742
2020-12-01,99767
2021-01-01,106128
2021-02-01,106047
2021-03-01,113154
2021-04-01,108048
2021-05-01,111231
2021-06-01,136572
2021-07-01,148321
2021-08-01,127689
2021-09-01,111084
2021-10-01,108803
2021-11-01,106333
2021-12-01,98320
2022-01-01,91401
2022-02-01,105399
2022-03-01,101712
