Date,Interest rate
2019-01-01,4.8947
2019-02-01,5.0162
2019-03-01,5.1797
2019-04-01,5.0864
2019-05-01,5.1083
2019-06-01,5.2402
2019-07-01,5.256
2019-08-01,5.2712
2019-09-01,5.3067
2019-10-01,5.3235
2019-11-01,5.3888
2019-12-01,5.5377
2020-01-01,5.5275
2020-02-01,5.3194
2020-03-01,5.3565
2020-04-01,5.5151
2020-05-01,5.6109
2020-06-01,5.6427
2020-07-01,5.6724
2020-08-01,5.6815
2020-09-01,5.6971
2020-10-01,5.7054
2020-11-01,5.712
2020-12-01,5.7209
2021-01-01,5.7608
2021-02-01,5.7575
2021-03-01,5.7275
2021-04-01,5.7308
2021-05-01,5.7333
2021-06-01,5.7524
2021-07-01,5.7848
2021-08-01,5.8264
2021-09-01,5.8592
2021-10-01,5.8817
2021-11-01,5.907
2021-12-01,5.9469
2022-01-01,6.0104
2022-02-01,6.3077
2022-03-01,7.0465
2022-04-01,7.1123
2022-05-01,7.126
2022-06-01,7.1908
2022-07-01,7.3908
2022-08-01,8.0588
2022-09-01,8.7472
2022-10-01,11.1671
2022-11-01,13.073
2022-12-01,10.0347
2023-01-01,9.9094
2023-02-01,10.8636
2023-03-01,11.014
2023-04-01,10.9456
2023-05-01,10.9152
2023-06-01,10.9836
2023-07-01,11.002
2023-08-01,11.0066
2023-09-01,11.0629
2023-10-01,11.3354
2023-11-01,11.5494
2023-12-01,11.6511
