Daily Date,Closing Price - VWAP (GH¢),Simple Returns
12/02/2024,1.4,
09/02/2024,1.4,0.0
08/02/2024,1.4,0.0
07/02/2024,1.4,0.0
06/02/2024,1.4,0.0
05/02/2024,1.4,0.0
02/02/2024,1.4,0.0
01/02/2024,1.4,0.0
31/01/2024,1.4,0.0
30/01/2024,1.4,0.0
29/01/2024,1.4,0.0
26/01/2024,1.4,0.0
25/01/2024,1.4,0.0
24/01/2024,1.4,0.0
23/01/2024,1.4,0.0
22/01/2024,1.4,0.0
19/01/2024,1.4,0.0
18/01/2024,1.4,0.0
17/01/2024,1.4,0.0
16/01/2024,1.4,0.0
15/01/2024,1.4,0.0
12/01/2024,1.4,0.0
11/01/2024,1.4,0.0
10/01/2024,1.4,0.0
05/01/2024,1.4,0.0
04/01/2024,1.4,0.0
03/01/2024,1.4,0.0
02/01/2024,1.4,0.0
29/12/2023,1.4,0.0
28/12/2023,1.4,0.0
27/12/2023,1.4,0.0
22/12/2023,1.4,0.0
21/12/2023,1.4,0.0
20/12/2023,1.4,0.0
19/12/2023,1.35,-0.03571428571428559
18/12/2023,1.35,0.0
15/12/2023,1.35,0.0
14/12/2023,1.4,0.03703703703703698
13/12/2023,1.4,0.0
12/12/2023,1.4,0.0
11/12/2023,1.4,0.0
08/12/2023,1.4,0.0
07/12/2023,1.4,0.0
06/12/2023,1.4,0.0
05/12/2023,1.4,0.0
04/12/2023,1.4,0.0
30/11/2023,1.4,0.0
29/11/2023,1.4,0.0
28/11/2023,1.4,0.0
27/11/2023,1.4,0.0
24/11/2023,1.4,0.0
23/11/2023,1.4,0.0
22/11/2023,1.4,0.0
21/11/2023,1.4,0.0
20/11/2023,1.4,0.0
17/11/2023,1.4,0.0
16/11/2023,1.4,0.0
15/11/2023,1.4,0.0
14/11/2023,1.4,0.0
13/11/2023,1.4,0.0
10/11/2023,1.4,0.0
09/11/2023,1.4,0.0
08/11/2023,1.37,-0.02142857142857124
07/11/2023,1.36,-0.007299270072992692
06/11/2023,1.37,0.007352941176470562
03/11/2023,1.37,0.0
02/11/2023,1.37,0.0
01/11/2023,1.37,0.0
31/10/2023,1.37,0.0
30/10/2023,1.37,0.0
27/10/2023,1.37,0.0
26/10/2023,1.38,0.007299270072992581
25/10/2023,1.38,0.0
