"Year","Variables","Jan","Feb","Mar","Apr","May","Jun","Jul","Aug","Sep","Oct","Nov","Dec"
"2023","Return On Equity (ROE)  -  After Tax  (%)","32.10","32.39","36.79","36.32","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00"
"2022","Return On Equity (ROE)  -  After Tax  (%)","22.22","21.46","22.13","22.30","22.37","21.94","22.67","23.02","21.91","20.23","20.67","14.58"
"2021","Return On Equity (ROE)  -  After Tax  (%)","25.60","22.10","22.40","21.10","20.90","21.20","21.30","21.00","21.10","19.80","21.10","20.60"
"2020","Return On Equity (ROE)  -  After Tax  (%)","26.61","25.46","21.20","18.88","19.11","20.58","21.21","7.95","21.00","21.23","20.95","21.40"
"2019","Return On Equity (ROE)  -  After Tax  (%)","21.83","20.13","21.12","18.87","21.49","21.15","17.34","20.88","20.50","20.70","20.44","19.94"
"2018","Return On Equity (ROE)  -  After Tax  (%)","7.32","18.96","17.99","17.27","17.19","16.80","17.15","16.91","17.13","17.57","16.13","18.18"
"2017","Return On Equity (ROE)  -  After Tax  (%)","24.25","19.56","21.23","19.29","17.87","17.72","18.11","14.94","11.39","14.41","14.59","16.56"
"2016","Return On Equity (ROE)  -  After Tax  (%)","23.78","20.72","23.45","21.95","21.78","22.86","23.54","21.73","20.78","20.21","19.44","18.01"
"2015","Return On Equity (ROE)  -  After Tax  (%)","32.21","27.51","29.30","26.72","28.71","29.08","27.34","28.05","26.65","26.46","24.15","22.15"
"2014","Return On Equity (ROE)  -  After Tax  (%)","27.15","29.39","30.65","30.82","29.89","30.83","31.38","32.48","34.01","33.28","32.13","32.28"
"2013","Return On Equity (ROE)  -  After Tax  (%)","32.23","31.15","25.90","26.76","26.98","28.08","27.66","28.52","29.10","29.65","29.47","31.07"
"2012","Return On Equity (ROE)  -  After Tax  (%)","29.14","23.98","24.22","23.16","24.67","26.92","26.70","27.32","26.54","26.00","26.04","25.76"
"2011","Return On Equity (ROE)  -  After Tax  (%)","13.06","15.52","17.76","18.13","18.86","18.50","18.11","17.66","17.69","19.19","18.89","19.74"
"2010","Return On Equity (ROE)  -  After Tax  (%)","30.96","32.17","19.22","21.74","20.67","16.76","19.35","18.81","20.22","18.45","20.31","20.44"
"2009","Return On Equity (ROE)  -  After Tax  (%)","32.92","22.50","21.60","21.17","19.20","24.80","23.73","14.78","19.75","20.53","20.19","17.50"
"2008","Return On Equity (ROE)  -  After Tax  (%)","32.94","26.30","26.21","22.81","19.32","18.05","23.00","24.40","26.00","22.51","24.12","23.70"
"2007","Return On Equity (ROE)  -  After Tax  (%)","28.06","23.14","26.90","23.22","28.65","16.72","24.41","29.53","27.40","26.39","28.26","25.83"
"2006","Return On Equity (ROE)  -  After Tax  (%)","25.30","21.79","24.15","26.33","27.64","24.84","24.75","25.26","25.26","24.04","25.79","27.45"
