,age_group,education,country,music,artist_name,featured_artists,avg_plays_per_user,song_age,user_favorite_genre,user_genre_diversity,user_genre_affinity,energy_acousticness_ratio
0,Teen, Undergraduate , Urban ,Bank Account,21 Savage,"Birdy, Zoé",551.0,7,Dark Trap,2,11.0,0.12847480176471282
1,Teen, Undergraduate , Urban ,Mo Money Mo Problems (feat. Mase & Puff Daddy) - 2014 Remastered Version,The Notorious B.I.G.,LUDMILLA,551.0,27,Dark Trap,2,1091.0,69.06249460449261
2,Senior, Graduate , Non-Urban ,No New Friends,DJ Khaled,"The xx, LIT killah",230.0,24, Pop,1,230.0,0.39140550251882084
3,Teen, Graduate , Urban ,Love Without Tragedy / Mother Mary,Rihanna,"Brett Young, Blueface, Lana Del Rey, Queens of the Stone Age",905.0,24,Hip-Hop,1,905.0,4.3667297309763216
4,Senior, Middle School , Urban ,Roses,The Chainsmokers,"Jonas Blue, Radiohead, Pearl Jam, ABBA",728.0,24,Jazz,2,1261.0,0.19040888935900332
5,Senior, Middle School , Urban ,"Dayum, Baby",Florida Georgia Line,Lupe Fiasco,728.0,24,Jazz,2,195.0,0.7810116060234724
6,Teen, Middle School , Non-Urban ,It Wasn't Me,Shaggy,Joel Corry,236.0,24, Soul  ,2,1.0,0.39660177765396987
7,Teen, Middle School , Non-Urban ,Ain't No Rest for the Wicked - Original Version,Cage The Elephant,Gwen Stefani,236.0,24, Soul  ,2,471.0,0.6898979913414299
8,Adult, Middle School , Non-Urban ,Pills N Potions,Nicki Minaj,La Arrolladora Banda El Limón De Rene Camacho,106.0,10,Rock,1,106.0,0.9028997711825844
9,Senior, Undergraduate , Urban ,Really Really,Kevin Gates,"Sfera Ebbasta, Saweetie, gnash",772.0,8, Christian/Gospel,1,772.0,2.886353687660551
10,Teen, High School , Non-Urban ,All My Love,Led Zeppelin,"Dido, Marco Antonio Solís, Spice Girls, Bazzi, Breaking Benjamin",247.0,45, Dance/Electronic,1,247.0,2.429058676645947
11,Elderly, Middle School , Non-Urban ,Livin' On A Prayer,Bon Jovi,"ZZ Top, Thirty Seconds To Mars, The Smashing Pumpkins",1.0,24,Hip-Hop,1,1.0,0.02661746920830656
12,Teen, Graduate , Urban ,Feels,Kiiara,"Mabel, Rich Brian, XXXTENTACION, Elton John",1.0,24,Classical,1,1.0,2.060251899996863
13,Teen, High School , Urban ,The Name Of The Game,ABBA,"Tim McGraw, Tones And I, GIMS, Electric Light Orchestra, KAROL G",741.0,24, Hip-Hop,2,1481.0,2.0364640009263293
14,Teen, High School , Urban ,So Long - From The Motion Picture Concussion,Leon Bridges,"Rich Brian, Backstreet Boys",741.0,24, Hip-Hop,2,1.0,1.146123521911064
15,Teen, Undergraduate , Non-Urban ,Man Of The Year,ScHoolboy Q,"Sofía Reyes, Christina Aguilera, Snow Patrol, Reik, Miguel",355.0,10,Underground Rap,1,355.0,11.486843782852251
16,Adult, Graduate , Non-Urban ,Don't Happen Twice,Kenny Chesney,"TLC, Noah Cyrus, Dua Lipa, MØ, Pink Floyd",66.0,24, Jazz,2,131.0,1.0895706841424617
17,Adult, Graduate , Non-Urban ,IBETCHU - Original Mix,Yellow Claw,"Sufjan Stevens, Kodaline, Chris Brown, 3 Doors Down",66.0,24, Jazz,2,1.0,3.5417476985229714
18,Senior, Graduate , Urban ,Bank Account,21 Savage,"Oh Wonder, Stevie Wonder, Ezhel, Of Monsters and Men",247.75,7, Jazz,2,1.0,5.1230785919468556
19,Senior, Graduate , Urban ,Batter Up,Nelly,"Bryant Myers, Lukas Graham, George Strait, Lil Pump",247.75,24, Jazz,2,990.0,13.371598592297381
20,Senior, Graduate , Urban ,Heartlines,Florence + The Machine,"Slipknot, Pharrell Williams, Radiohead",247.75,13, Jazz,2,990.0,0.2806707172302518
21,Senior, Graduate , Urban ,And It Stoned Me,Van Morrison,"Intocable, Sabaton",247.75,54, Jazz,2,990.0,1.0287983426748917
22,Adult, Undergraduate , Non-Urban ,This Is What Makes Us Girls,Lana Del Rey,"Natiruts, Stefflon Don, YNW Melly, Bing Crosby",627.0,12, Folk/Acoustic,2,1.0,1.6085461590671075
23,Adult, Undergraduate , Non-Urban ,Let's Go,Khalid,"Sara Bareilles, Vintage Culture, Jonas Blue, Skepta, Lil Yachty",627.0,24, Folk/Acoustic,2,1253.0,2.1775009833092587
24,Elderly, Undergraduate , Non-Urban ,Truffle Butter,Nicki Minaj,"Martin Jensen, Luísa Sonza",1.0,24, Classical,1,1.0,0.8155822231448611
25,Adult, Middle School , Urban ,Forever,Drake,Jesse & Joy,160.0,24,Hiphop,1,160.0,0.4098452491679818
26,Young Adult, High School , Non-Urban ,Beat It,Sean Kingston,"The Strokes, Owl City, SZA, Juanes, Charli XCX",1.0,11, Country  ,1,1.0,2.4658896863194224
27,Senior, Undergraduate , Non-Urban ,Black Balloon,The Goo Goo Dolls,Diplo,1.0,26, Christian/Gospel,1,1.0,1.1387142470428695
28,Elderly, Graduate , Urban ,Chicken Fried,Zac Brown Band,"Alan Walker, RAF Camora, Angus & Julia Stone",615.0,24, Classical,1,615.0,0.6809303660679749
29,Elderly, Graduate , Non-Urban ,Evil Woman,Electric Light Orchestra,"Five Finger Death Punch, John Legend",271.5,52, Classical,2,1.0,0.34471574398628757
30,Elderly, Graduate , Non-Urban ,100it Racks,Future,"The xx, The Police, Kenny Chesney, Aretha Franklin, Ice Cube",271.5,24, Classical,2,542.0,0.6211412439704134
31,Elderly, Undergraduate , Non-Urban ,"Pure (feat. Pusha T, Big K.R.I.T. & Doughboyz Cashout)",T.I.,"Feid, Empire of the Sun, Gorillaz, Jack Ü, Don Omar",333.0,24, Blues,1,333.0,1.5142452925064351
32,Adult, Graduate , Urban ,Reforget,Lauv,"Robbie Williams, Armin van Buuren, Madonna, Fetty Wap",1222.5,24, Pop,2,853.0,5.357002007748346
33,Adult, Graduate , Urban ,Undone - The Sweater Song,Weezer,A$AP Rocky,1222.5,24, Pop,2,1592.0,7.867844485317299
34,Teen, High School , Non-Urban ,"Bon, Bon",Pitbull,"Sia, David Bisbal, Jeremy Zucker, Armin van Buuren",382.0,24, Metal,2,109.0,0.6775554679062155
35,Teen, High School , Non-Urban ,Don't Stop (Color on the Walls),Foster The People,"The Clash, Tory Lanez, Eslabon Armado, JAY-Z",382.0,13, Metal,2,1037.0,0.6752451934035084
36,Teen, High School , Non-Urban ,Who Do You Love?,YG,"Ramin Djawadi, DJ Luian, Lil Uzi Vert",382.0,24, Metal,2,109.0,21.39070083312178
37,Elderly, Undergraduate , Non-Urban ,Addicted To A Memory,Zedd,"Polo G, Vampire Weekend, Juan Gabriel, Marc Anthony",1.0,24, Christian/Gospel,1,1.0,0.09851737425089643
38,Young Adult, High School , Non-Urban ,2U (feat. Justin Bieber),David Guetta,"Romeo Santos, Jason Mraz, Kylie Minogue, Fifth Harmony, Alice In Chains",862.0,7, R&B,1,862.0,2.9680365161276874
39,Young Adult, Undergraduate , Urban ,Remind Me - duet with Brad Paisley,Carrie Underwood,"Tiago PZK, DENNIS",231.0,24, Metal,1,231.0,0.27901195017015323
40,Elderly, Middle School , Non-Urban ,Nightcrawler,Travis Scott,Bryan Adams,650.0,9,Rap,1,650.0,0.42191086350022655
41,Teen, Undergraduate , Non-Urban ,Slippery (feat. Gucci Mane),Migos,"Feid, Kid Cudi, alt-J",446.6666666666667,7, Hip-Hop,5,897.0,0.23636267669481703
42,Teen, Undergraduate , Non-Urban ,Hypnotize - 2014 Remastered Version,The Notorious B.I.G.,"Kylie Minogue, Sido, Evaluna Montaner, Norah Jones, Sufjan Stevens",446.6666666666667,27, Hip-Hop,5,1.0,4.806896518573128
43,Teen, Undergraduate , Non-Urban ,Going Back To Cali - 2014 Remastered Version,The Notorious B.I.G.,"Astrid S, Normani, Henrique & Juliano",446.6666666666667,27, Hip-Hop,5,637.0,0.852883336880611
44,Adult, Undergraduate , Urban ,$ave Dat Money (feat. Fetty Wap & Rich Homie Quan),Lil Dicky,"The Lumineers, Kacey Musgraves, Rammstein, Kygo, Gunna",1.0,24, Pop,2,1.0,0.8087994682270478
45,Adult, Undergraduate , Urban ,Mama Said,Lukas Graham,"NEFFEX, Arctic Monkeys, John Denver",1.0,9, Pop,2,1.0,1.074450966721915
46,Young Adult, Middle School , Non-Urban ,I. the worst guys,Childish Gambino,"La Oreja de Van Gogh, Hollywood Undead, LIT killah, Norah Jones",248.14285714285714,24, Christian/Gospel,7,1.0,1.29403228309009
